$GPHPD,2058,119100.600,270.553,-0.159,178.548,31.1295257,120.6622859,12.87,-3.472,0.088,-0.085,-1.000,16,20,0B*3B
$GPHPD,2058,119100.800,270.628,-0.840,178.684,31.1295258,120.6622783,12.86,-3.688,0.085,0.057,-1.000,16,20,0B*16
$GPHPD,2058,119100.800,270.628,-0.840,178.684,31.1295258,120.6622783,12.86,-3.688,0.085,0.057,-1.000,16,20,0B*16
$GPHPD,2058,119101.000,270.356,0.261,179.083,31.1295260,120.6622703,12.87,-3.910,0.063,0.027,-1.000,16,20,0B*34
$GPHPD,2058,119101.000,270.356,0.261,179.083,31.1295260,120.6622703,12.87,-3.910,0.063,0.027,-1.000,16,20,0B*34
$GPHPD,2058,119101.200,270.603,0.416,178.501,31.1295262,120.6622617,12.86,-4.093,0.107,-0.031,-1.000,16,20,0B*10
$GPHPD,2058,119101.200,270.603,0.416,178.501,31.1295262,120.6622617,12.86,-4.093,0.107,-0.031,-1.000,16,20,0B*10
$GPHPD,2058,119101.400,270.578,0.327,178.528,31.1295264,120.6622528,12.87,-4.298,0.110,0.022,-1.000,16,20,0B*3F
$GPHPD,2058,119101.400,270.578,0.327,178.528,31.1295264,120.6622528,12.87,-4.298,0.110,0.022,-1.000,16,20,0B*3F
$GPHPD,2058,119101.600,270.772,-0.954,178.335,31.1295266,120.6622437,12.87,-4.398,0.128,0.022,-1.000,16,20,0B*1B
$GPHPD,2058,119101.600,270.772,-0.954,178.335,31.1295266,120.6622437,12.87,-4.398,0.128,0.022,-1.000,16,20,0B*1B
$GPHPD,2058,119101.800,270.664,-0.658,178.381,31.1295268,120.6622342,12.86,-4.553,0.129,-0.089,-1.000,16,20,0B*39
$GPHPD,2058,119101.800,270.664,-0.658,178.381,31.1295268,120.6622342,12.86,-4.553,0.129,-0.089,-1.000,16,20,0B*39
$GPHPD,2058,119102.000,270.676,-0.074,179.322,31.1295269,120.6622245,12.88,-4.648,0.055,0.124,-1.000,16,20,0B*10
$GPHPD,2058,119102.000,270.676,-0.074,179.322,31.1295269,120.6622245,12.88,-4.648,0.055,0.124,-1.000,16,20,0B*10
$GPHPD,2058,119102.200,270.903,-1.354,178.953,31.1295271,120.6622147,12.87,-4.697,0.086,0.015,-1.000,16,20,0B*1A
$GPHPD,2058,119102.200,270.903,-1.354,178.953,31.1295271,120.6622147,12.87,-4.697,0.086,0.015,-1.000,16,20,0B*1A
$GPHPD,2058,119102.400,270.718,-1.049,178.479,31.1295273,120.6622049,12.86,-4.683,0.124,-0.083,-1.000,16,20,0B*30
